CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
03010201040122|BSI 63 Route S4B: Skaw-Passero trip to US Gulf||03010201040100|07|Y|Y,Q,M|C
03010201040123|BSI 63 Route S5: West Africa trip via East Coast South America to North China||03010201040100|07|Y|Y,Q,M|C
03010201040124|BSI 63 Route S8: South China trip via Indonesia to East Coast India||03010201040100|07|Y|Y,Q,M|C
03010201040125|BSI 63 Route S9: West Africa trip via East Coast South America to Skaw-Passero||03010201040100|07|Y|Y,Q,M|C
03010201040126|BSI Route S10: Indonesia-South China||03010201040100|07|Y|Y,Q,M|C
03010201040127|BSI Route S11: Trial Mid China/Australia or Nopac RV||03010201040100|07|Y|Y,Q,M|C
03010201040128|BSI Route S8: S. China via Indonesia / EC India||03010201040100|07|Y|Y,Q,M|C
03010201040129|Timecharter Average of Routes S8, S10 and S11 for Baltic Supramax Index||03010201040100|07|Y|Y,Q,M|C
03010201040130|Average of the 6 T/C Routes for Baltic Supramax Index||03010201040100|07|Y|Y,Q,M|C
03010201040131|Baltic Exchange Supramax 52,000 dwt Index||03010201040100|07|Y|Y,Q,M|C
03010201040132|BSI 58 Asia Route S11: Mid China, Australian or Transpacific round voyage||03010201040100|07|Y|Y,Q,M|C
03010201040133|BSI Route S1A: Antwerp - Skaw Trip Far East||03010201040100|07|Y|Y,Q,M|C
03010201040134|BSI Route S1B: Canakkale Trip Far East||03010201040100|07|Y|Y,Q,M|C
03010201040135|BSI Route S2: Japan - SK / NOPAC or Australia RV||03010201040100|07|Y|Y,Q,M|C
03010201040136|BSI Route S3: Japan - SK Trip Gib - Skaw range||03010201040100|07|Y|Y,Q,M|C
03010201040137|BSI Route S4: 52,000mt Transatlantic RV||03010201040100|07|Y|Y,Q,M|C
03010201040138|BSI Route S5: W.Africa via ECSA to Far East||03010201040100|07|Y|Y,Q,M|C
03010201040139|BSI Route S6: Jpn-SK trip via Aus/India||03010201040100|07|Y|Y,Q,M|C
03010201040140|BSI Route S7: EC India-China||03010201040100|07|Y|Y,Q,M|C
03010201040141|BSI Route S7IV Implied Voyage Vizag-Qingdao||03010201040100|07|Y|Y,Q,M|C
03010201040142|BSI Route S9: W. Africa via ECSA to Skaw/Passero||03010201040100|07|Y|Y,Q,M|C
03010201040143|BSI4a: USGulf to Skaw - Passero||03010201040100|07|Y|Y,Q,M|C
03010201040144|BSI4b: Skaw-Passero to USGulf||03010201040100|07|Y|Y,Q,M|C
03010201040200|Baltic Handymax Index||03010201040000|06|N||
03010201040201|Baltic Exchange Handymax Index||03010201040200|07|Y|Y,Q,M|C
03010201040202|BHMI M1A: Antwerp-Skaw trip Far East||03010201040200|07|Y|Y,Q,M|C
03010201040203|BHMI M1B: Canakkale trip Far East||03010201040200|07|Y|Y,Q,M|C
03010201040204|BHMI M2: Japan-S.Korea / Nopac or Australia round voyage||03010201040200|07|Y|Y,Q,M|C
03010201040205|BHMI M3: Japan-S.Korea trip Gibraltar-Skaw range||03010201040200|07|Y|Y,Q,M|C
03010201040206|BHMI M4A: Antwerp-Skaw trip USG||03010201040200|07|Y|Y,Q,M|C
03010201040207|BHMI M4B: USG trip Skaw-Passero||03010201040200|07|Y|Y,Q,M|C
03010201040208|Weighted Average of BHMI T/C routes||03010201040200|07|Y|Y,Q,M|C
03010201040209|Average of the 7 T/C Routes for BHSI-38||03010201040200|07|Y|Y,Q,M|C
03010201040210|Baltic Exchange Handysize Index||03010201040200|07|Y|Y,Q,M|C
03010201040211|BHSI1_38: Skaw - Passero trip Recalada - Rio de Janeiro||03010201040200|07|Y|Y,Q,M|C
03010201040212|BHSI2_38: Skaw - Passero trip Boston - Galveston||03010201040200|07|Y|Y,Q,M|C
03010201040213|BHSI3_38: Recalada - Rio de Janeiro trip Skaw - Passero||03010201040200|07|Y|Y,Q,M|C
03010201040214|BHSI4_38: US Gulf trip via US Gulf or NCSA to Skaw - Passero||03010201040200|07|Y|Y,Q,M|C
03010201040215|BHSI5_38: SE Asia trip via Australia to Singapore - Japan||03010201040200|07|Y|Y,Q,M|C
03010201040216|BHSI6_38: N.China - S.Korea - Japan trip to N.China - S.Korea - Japan||03010201040200|07|Y|Y,Q,M|C
03010201040217|BHSI7_38: N.China - S.Korea - Japan trip to SE Asia||03010201040200|07|Y|Y,Q,M|C
03010201040218|Average of the 6 T/C Routes for BHSI-28||03010201040200|07|Y|Y,Q,M|C
03010201040219|BHSI1: Skaw - Passero trip Recalada - Rio de Janeiro||03010201040200|07|Y|Y,Q,M|C
03010201040220|BHSI2: Skaw - Passero trip Boston - Galveston||03010201040200|07|Y|Y,Q,M|C
03010201040221|BHSI3: Recalada - Rio de Janeiro trip Skaw - Passero||03010201040200|07|Y|Y,Q,M|C
03010201040222|BHSI4: US Gulf trip via US Gulf or NCSA to Skaw - Passero||03010201040200|07|Y|Y,Q,M|C
03010201040223|BHSI5: SE Asia trip via Australia to Singapore - Japan||03010201040200|07|Y|Y,Q,M|C
03010201040224|BHSI6: S Korea - Japan via NOPAC to Singapore-Japan||03010201040200|07|Y|Y,Q,M|C
03020000000000|Fleet&Supply||03000000000000|02|N||
03020100000000|Fleet Development||03020000000000|03|N||
03020101000000|Fleet by Owner Country/Region||03020100000000|04|N||
03020101010000|Fleet Development by Country/Region of Owner - Russia||03020101000000|05|Y|Y,Q,M|C
03020101020000|Fleet Development - Russian-Owned Crude Tankers||03020101000000|05|Y|Y,Q,M|C
03020101030000|Fleet Development - Russian-Owned Product (10,000+ dwt) Tankers||03020101000000|05|Y|Y,Q,M|C
03020101040000|Fleet Development - Russian-Owned Aframax (85-124,999 dwt) Crude Tankers||03020101000000|05|Y|Y,Q,M|C
03020101050000|Fleet Development - Russian-Owned LNG Carriers||03020101000000|05|Y|Y,Q,M|C
03020102000000|All Vessels||03020100000000|04|N||
03020102010000|Fleet Development by Country/Region of Owner - Russia||03020102000000|05|Y|Y,Q,M|C
03020102020000|World Fleet (100+ GT)||03020102000000|05|Y|Y,Q,M|C
03020102030000|World Fleet Growth||03020102000000|05|Y|Y,Q,M|C
03020103000000|Oil Tankers||03020100000000|04|N||
03020103010000|Tanker General||03020103000000|05|N||
03020103010100|Fleet Development - Russian-Owned Crude Tankers||03020103010000|06|Y|Y,Q,M|C
03020103010200|Crude Tanker Trading Fleet||03020103010000|06|Y|Y,Q,M|C
03020103010300|Crude Tanker Trading Fleet Growth||03020103010000|06|Y|Y,Q,M|C
03020103010400|Total Crude Tanker Fleet Development||03020103010000|06|Y|Y,Q,M|C
03020103010500|Total Double Hull (10k + DWT) Tanker Fleet Development||03020103010000|06|Y|Y,Q,M|C
03020103010600|Total Product Tanker 10k+ DWT Fleet Development||03020103010000|06|Y|Y,Q,M|C
03020103010700|Total Tanker (10k+ DWT) Fleet Development||03020103010000|06|Y|Y,Q,M|C
03020103020000|Product Tankers||03020103000000|05|N||
03020103020100|Fleet Development - Russian-Owned Product (10,000+ dwt) Tankers||03020103020000|06|Y|Y,Q,M|C
03020103020200|Total Product Tanker 10k+ DWT Fleet Development||03020103020000|06|Y|Y,Q,M|C
03020103020300|Aframax Product Tanker Fleet Development||03020103020000|06|Y|Y,Q,M|C
03020103020400|Aframax Product Tanker Fleet Growth||03020103020000|06|Y|Y,Q,M|C
03020103020500|Handysize Product Tanker Fleet Development||03020103020000|06|Y|Y,Q,M|C
03020103020600|Handysize Product Tanker Fleet Growth||03020103020000|06|Y|Y,Q,M|C
03020103020700|LR1 Trading Fleet||03020103020000|06|Y|Y,Q,M|C
03020103020800|LR1 Trading Fleet Growth||03020103020000|06|Y|Y,Q,M|C
03020103020900|LR2 Trading Fleet||03020103020000|06|Y|Y,Q,M|C
03020103021000|LR2 Trading Fleet Growth||03020103020000|06|Y|Y,Q,M|C
03020103021100|MR Product Tanker 40,000-54,999 dwt Fleet Development||03020103020000|06|Y|Y,Q,M|C
03020103021200|Panamax Product Tanker Fleet Development||03020103020000|06|Y|Y,Q,M|C
03020103021300|Panamax Product Tanker Fleet Growth||03020103020000|06|Y|Y,Q,M|C
03020103021400|Product Tanker Trading Fleet||03020103020000|06|Y|Y,Q,M|C
03020103021500|Product Tanker Trading Fleet Growth||03020103020000|06|Y|Y,Q,M|C
03020103021600|Suezmax Product Tanker Fleet Development||03020103020000|06|Y|Y,Q,M|C
03020103030000|ULCC/VLCC||03020103000000|05|N||
03020103030100|VLCC Double Hull Tanker Fleet Development||03020103030000|06|Y|Y,Q,M|C
03020103030200|VLCC Fleet Development||03020103030000|06|Y|Y,Q,M|C
03020103030300|VLCC Fleet Growth||03020103030000|06|Y|Y,Q,M|C
03020103030400|VLCC Trading Fleet||03020103030000|06|Y|Y,Q,M|C
03020103030500|VLCC Trading Fleet Growth||03020103030000|06|Y|Y,Q,M|C
03020103040000|Suezmax Tanker||03020103000000|05|N||
03020103040100|Suezmax Product Tanker Fleet Development||03020103040000|06|Y|Y,Q,M|C
03020103040200|Suezmax Double Hull Tanker Fleet Development||03020103040000|06|Y|Y,Q,M|C
03020103040300|Suezmax Fleet Growth||03020103040000|06|Y|Y,Q,M|C
03020103040400|Suezmax Tanker Fleet Development||03020103040000|06|Y|Y,Q,M|C
03020103040500|Suezmax Trading Fleet||03020103040000|06|Y|Y,Q,M|C
